index	desired	output	error
0	1.2940	0.0000	1.2940
1	-0.6623	0.0026	-0.6648
2	0.8125	-0.0019	0.8144
3	-0.8787	0.0013	-0.8800
4	1.0383	-0.0010	1.0394
5	-0.7498	0.0011	-0.7509
6	-1.0926	0.0008	-1.0934
7	0.8939	-0.0010	0.8949
8	0.9702	0.0014	0.9688
9	0.9105	0.0011	0.9094
10	-0.7789	-0.0054	-0.7735
11	-1.1914	0.0019	-1.1933
12	-0.6810	0.0018	-0.6829
13	0.9401	0.0047	0.9353
14	0.6308	0.0015	0.6293
15	-1.1483	-0.0048	-1.1435
16	-0.7882	0.0031	-0.7913
17	-1.0338	-0.0014	-1.0325
18	0.9905	-0.0004	0.9909
19	-1.3636	0.0098	-1.3734
20	1.1554	0.0062	1.1492
21	1.1477	-0.0079	1.1556
22	1.1630	-0.0120	1.1751
23	-1.3765	-0.0210	-1.3555
24	1.1480	0.0111	1.1369
25	1.1454	0.0227	1.1227
26	-1.1347	0.0070	-1.1417
27	-0.9330	-0.0403	-0.8928
28	-1.0512	0.0038	-1.0550
29	0.8577	0.0375	0.8202
30	0.9938	0.0204	0.9734
31	0.8857	-0.0384	0.9241
32	-0.7952	-0.0295	-0.7658
33	0.7944	0.0229	0.7715
34	1.3316	0.0161	1.3155
35	-0.9067	-0.0166	-0.8901
36	1.2083	-0.0052	1.2135
37	1.2651	0.0021	1.2630
38	-1.1717	-0.0128	-1.1588
39	-1.3837	-0.0242	-1.3595
40	1.0804	0.0148	1.0656
41	-0.8418	0.0299	-0.8717
42	0.7902	-0.0073	0.7975
43	-0.9871	-0.0446	-0.9425
44	1.0906	0.0079	1.0827
45	-1.3677	0.0243	-1.3920
46	1.1597	0.0552	1.1045
47	-1.0689	-0.0637	-1.0052
48	0.9032	-0.0327	0.9359
49	1.0529	0.0369	1.0159
50	0.7051	-0.0055	0.7106
51	0.9619	-0.0428	1.0047
52	0.7690	-0.0057	0.7748
53	0.8708	-0.0074	0.8782
54	0.8414	-0.0135	0.8549
55	0.9070	0.0029	0.9040
56	-1.2425	0.0499	-1.2924
57	-1.2462	-0.0241	-1.2221
58	0.9672	0.0379	0.9293
59	-1.0186	-0.0301	-0.9885
60	0.9241	0.0002	0.9240
61	-1.1444	0.0413	-1.1856
62	1.1700	0.0194	1.1506
63	0.6680	-0.0443	0.7123
64	0.8721	0.0197	0.8524
65	1.0160	0.0276	0.9884
66	-0.7627	0.0167	-0.7793
67	-1.0403	0.0108	-1.0511
68	1.0011	0.0363	0.9649
69	0.7708	-0.0636	0.8343
70	-1.3460	0.0388	-1.3848
71	-1.1051	0.0188	-1.1239
72	-0.6990	0.0130	-0.7121
73	0.6596	-0.0825	0.7420
74	-1.1641	0.0418	-1.2059
75	1.0654	0.0263	1.0391
76	-1.0844	-0.0072	-1.0772
77	1.2779	-0.0003	1.2782
78	-1.0177	-0.0392	-0.9785
79	1.1034	0.0199	1.0835
80	-1.5781	-0.0146	-1.5635
81	-1.0597	0.0318	-1.0915
82	0.9782	-0.0592	1.0373
83	0.9245	-0.0239	0.9483
84	1.3844	0.0355	1.3489
85	-0.7263	-0.0100	-0.7163
86	0.7825	0.0234	0.7591
87	-1.2008	-0.0475	-1.1532
88	1.0644	-0.0108	1.0751
89	1.0186	-0.0351	1.0537
90	-0.9525	0.0310	-0.9835
91	1.0888	-0.0362	1.1250
92	0.7608	-0.0153	0.7761
93	-1.2518	-0.0069	-1.2449
94	-0.3097	0.0804	-0.3901
95	1.0636	-0.0435	1.1072
96	1.0161	0.0560	0.9601
97	1.0643	-0.0489	1.1132
98	0.8856	-0.0058	0.8914
99	-1.4364	-0.0853	-1.3511
100	0.8467	-0.1041	0.9508
101	1.1290	0.0807	1.0483
102	1.2377	0.0225	1.2153
103	1.2917	0.0898	1.2019
104	1.1554	-0.0706	1.2260
105	-0.9900	-0.0146	-0.9754
106	1.1502	-0.0536	1.2038
107	-0.9678	0.0197	-0.9875
108	-0.8269	0.0155	-0.8423
109	1.0905	0.0119	1.0786
110	1.1361	0.0260	1.1101
111	1.1426	-0.0087	1.1512
112	-1.2381	-0.0679	-1.1702
113	0.9974	-0.0125	1.0098
114	1.1509	0.0510	1.0999
